,,2025102303,2025102306,2025102309,2025102312,2025102315,2025102318,2025102321,2025102324,2025102403,2025102406,2025102409,2025102412,2025102415,2025102418,2025102421,2025102424,2025102503,2025102506,2025102509,2025102512,2025102515,2025102518,2025102521,2025102524
40201,2025/10/23 00:25,  80,  70, 130, 160, 150, 120, 100,  90,  80,  70, 140, 160, 140, 130, 120, 110, 100, 100, 160, 190, 170, 160, 160, 150
