2025/7/1,1,59,0,1,3,26,29,0,0,0,19,35,5,16,10,2,1,6,7,10,7
2025/7/1,2,4,0,0,0,1,3,0,0,0,0,3,1,4,0,0,0,0,0,0,0
2025/7/1,3,10,0,1,0,2,7,0,0,0,3,7,0,7,1,1,0,0,1,0,0
2025/7/1,4,27,0,0,0,12,15,0,0,1,11,15,0,17,3,0,0,1,1,5,0
2025/7/1,5,5,0,0,0,0,5,0,0,0,1,4,0,1,0,0,0,1,0,2,1
2025/7/1,6,4,0,0,0,4,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0
2025/7/1,7,12,0,0,1,3,8,0,0,0,6,6,0,7,1,2,1,0,0,1,0
2025/7/1,8,27,0,0,2,8,17,0,0,1,12,14,0,11,2,1,1,1,1,8,2
2025/7/1,9,19,0,0,0,5,14,0,0,1,8,10,0,11,1,0,0,1,4,2,0
2025/7/1,10,25,0,0,0,12,13,0,0,1,10,14,0,11,6,0,0,1,2,0,5
2025/7/1,11,115,0,0,6,41,68,0,0,5,47,63,0,30,21,8,3,6,8,34,5
2025/7/1,12,53,0,1,0,19,33,0,0,0,30,23,0,19,6,3,1,3,6,13,2
2025/7/1,13,125,0,0,6,46,73,0,0,1,53,71,0,42,6,0,2,28,9,38,0
2025/7/1,14,66,0,0,2,18,46,0,0,2,31,33,0,35,5,1,4,2,5,14,0
2025/7/1,15,9,0,0,2,3,4,0,0,0,4,5,0,3,2,1,1,1,0,1,0
2025/7/1,16,12,0,0,0,4,8,0,0,1,5,6,0,3,3,0,0,0,3,3,0
2025/7/1,17,13,0,0,0,4,9,0,0,0,5,8,0,9,2,0,0,0,0,2,0
2025/7/1,18,11,0,0,0,4,7,0,0,0,2,9,0,5,1,0,0,2,0,1,2
2025/7/1,19,8,0,0,0,3,5,0,0,0,5,3,0,4,0,0,0,0,2,2,0
2025/7/1,20,24,0,0,1,8,15,0,0,0,9,15,0,12,5,1,0,0,2,2,2
2025/7/1,21,43,0,0,4,17,22,0,0,2,22,19,0,18,8,2,2,3,4,3,3
2025/7/1,22,20,0,0,0,8,12,0,0,0,7,13,0,9,5,1,0,0,1,4,0
2025/7/1,23,182,0,0,11,77,94,0,0,2,55,125,0,52,26,4,6,14,13,65,2
2025/7/1,24,24,0,0,0,10,14,0,0,1,7,16,0,7,6,1,0,1,2,6,1
2025/7/1,25,21,0,0,2,7,12,0,0,0,5,16,0,7,5,0,3,1,0,5,0
