traj_id,frame,x,y
0,51,-1.600596,7.317359
0,52,-1.311057,7.145551
0,53,-1.236336,7.106033
0,54,-1.149204,7.052485
0,55,-1.038198,6.975253
0,56,-0.926172,6.879538
0,57,-0.82079,6.785835
0,58,-0.688163,6.6883
0,59,-0.551937,6.578865
0,60,-0.44544,6.488306
0,61,-0.270834,6.396258
0,62,-0.12792,6.2981
0,63,-0.002083,6.189783
0,64,0.150704,6.073578
0,65,0.288449,5.955766
0,66,0.422316,5.865055
0,67,0.574518,5.752042
0,68,0.709125,5.66251
0,69,0.841011,5.56502
0,70,0.952857,5.463573
0,71,1.077666,5.339054
0,72,1.186031,5.213783
0,73,1.305306,5.101236
0,74,1.430893,4.978622
0,75,1.565758,4.858123
0,76,1.709495,4.748823
0,77,1.845801,4.638647
0,78,1.979216,4.51927
0,79,2.10187,4.419296
0,80,2.212769,4.317517
0,81,2.335905,4.210404
0,82,2.459861,4.077429
0,83,2.584746,3.961574
0,84,2.703404,3.824144
0,85,2.823259,3.72989
0,86,2.948477,3.614676
0,87,3.07745,3.508654
0,88,3.209453,3.371242
0,89,3.320648,3.254051
0,90,3.441993,3.120246
0,91,3.549891,2.996145
0,92,3.666919,2.893542
0,93,3.799383,2.786813
0,94,3.947844,2.652288
0,95,4.063506,2.536963
0,96,4.192236,2.421517
0,97,4.328542,2.274624
0,98,4.44213,2.157956
0,99,4.569598,2.04259
0,100,4.693232,1.914361
0,101,4.812826,1.800215
0,102,4.947376,1.711667
0,103,5.08007,1.592973
0,104,5.220762,1.486821
0,105,5.340983,1.353582
0,106,5.462541,1.212095
0,107,5.598639,1.106215
0,108,5.741686,1.011673
0,109,5.840056,0.889401
0,110,5.963212,0.814149
0,111,6.129862,0.771799
0,112,6.259254,0.691841
1,1023,-1.664732,18.169397
1,1024,-1.443927,18.092531
1,1025,-1.396089,18.07502
1,1026,-1.286119,18.039925
1,1027,-1.169435,17.995632
1,1028,-1.047055,17.981266
1,1029,-0.887888,17.984451
1,1030,-0.726323,17.993752
1,1031,-0.576412,17.985907
1,1032,-0.417052,17.972326
1,1033,-0.225269,18.00429
1,1034,-0.064244,17.991983
1,1035,0.124947,17.981491
1,1036,0.255475,18.002037
1,1037,0.412902,18.000488
1,1038,0.54505,17.950405
1,1039,0.724594,17.9394
1,1040,0.904329,17.923742
1,1041,1.05965,17.932398
1,1042,1.219713,17.941927
1,1043,1.410785,17.895845
1,1044,1.604061,17.859621
1,1045,1.735761,17.831179
1,1046,1.895424,17.851915
1,1047,2.081447,17.83629
1,1048,2.25747,17.831938
1,1049,2.418603,17.821653
1,1050,2.595358,17.813368
1,1051,2.763783,17.838898
1,1052,2.901467,17.810688
1,1053,3.053584,17.785797
1,1054,3.222954,17.770714
1,1055,3.376277,17.76704
1,1056,3.542429,17.743008
1,1057,3.696427,17.725807
1,1058,3.870407,17.727962
1,1059,4.017195,17.719013
1,1060,4.177671,17.727072
1,1061,4.333439,17.704584
1,1062,4.511976,17.683596
1,1063,4.67421,17.655458
1,1064,4.832216,17.642624
1,1065,4.997079,17.646008
1,1066,5.114357,17.626099
1,1067,5.267943,17.629219
1,1068,5.457047,17.620625
1,1069,5.601116,17.611307
1,1070,5.771804,17.597948
1,1071,5.92421,17.576828
1,1072,6.064433,17.567076
1,1073,6.215048,17.552677
1,1074,6.384059,17.508942
1,1075,6.537533,17.48469
1,1076,6.699112,17.484716
1,1077,6.856207,17.503378
1,1078,7.005821,17.502567
1,1079,7.139836,17.472582
1,1080,7.300265,17.463598
1,1081,7.454758,17.459835
1,1082,7.595895,17.47967
1,1083,7.756742,17.445786
1,1084,7.90969,17.421095
1,1085,8.071903,17.405834
1,1086,8.249754,17.439724
1,1087,8.415042,17.407679
1,1088,8.581494,17.395643
1,1089,8.733844,17.372581
1,1090,8.891704,17.368998
1,1091,9.0372,17.38509
1,1092,9.183908,17.342323
1,1093,9.33239,17.360764
1,1094,9.484841,17.36508
1,1095,9.641485,17.310036
1,1096,9.818523,17.279678
1,1097,9.987629,17.259041
1,1098,10.129214,17.302713
1,1099,10.27497,17.321432
1,1100,10.437945,17.326239
1,1101,10.596919,17.275812
1,1102,10.74908,17.251934
1,1103,10.896716,17.257109
1,1104,11.038031,17.275106
2,3455,-1.757322,18.135126
2,3456,-1.571141,18.00371
2,3457,-1.522707,17.977219
2,3458,-1.472482,17.942781
2,3459,-1.398341,17.90493
2,3460,-1.316943,17.869415
2,3461,-1.214906,17.835957
2,3462,-1.088302,17.818836
2,3463,-0.959339,17.794714
2,3464,-0.823462,17.787745
2,3465,-0.721663,17.754047
2,3466,-0.569474,17.750275
2,3467,-0.442245,17.723316
2,3468,-0.352888,17.672194
2,3469,-0.257345,17.606583
2,3470,-0.177647,17.542128
2,3471,-0.075558,17.482918
2,3472,0.033404,17.436573
2,3473,0.124699,17.427383
2,3474,0.233376,17.40118
2,3475,0.358399,17.363268
2,3476,0.487021,17.3281
2,3477,0.583185,17.306072
2,3478,0.705609,17.307539
2,3479,0.830219,17.310242
2,3480,0.996106,17.287594
2,3481,1.089725,17.243517
