cityCode,市町村名,C_2011コミュニティバス運行2011年,C_2017コミュニティバス運行2017年,D_2011デマンド型交通運行2011年,D_2017デマンド型交通運行2017年,人口密度(人/km2),面積(km2),軽自動車率,15歳未満人口比率,高齢化率,自家用車利用率
29443,奈良県吉野郡下市町,0,1,0,0,98.461,61.99,0.563,0.068,0.419,0.655
29444,奈良県吉野郡黒滝村,1,1,0,0,13.019,47.7,0.582,0.05,0.494,0.803
29446,奈良県吉野郡天川村,0,1,0,0,7.684,175.66,0.575,0.086,0.463,0.672
29447,奈良県吉野郡野迫川村,0,1,0,0,2.844,154.9,0.573,0.067,0.454,0.64
29449,奈良県吉野郡十津川村,1,1,0,0,5.193,672.38,0.579,0.082,0.402,0.615
29450,奈良県吉野郡下北山村,0,1,0,0,6.705,133.39,0.548,0.072,0.474,0.826
29451,奈良県吉野郡上北山村,0,1,0,0,1.855,274.22,0.551,0.033,0.492,0.639
29452,奈良県吉野郡川上村,0,1,0,0,4.666,209.61,0.799,0.11,0.25,0.78
29453,奈良県吉野郡東吉野村,0,1,0,0,13.513,131.65,0.575,0.053,0.537,0.813
30201,和歌山県和歌山市,0,1,0,0,1725.528,208.84,0.5,0.123,0.293,0.499
30202,和歌山県海南市,1,1,0,0,485.965,101.06,0.563,0.11,0.341,0.648
30203,和歌山県橋本市,1,1,0,1,471.213,130.55,0.551,0.122,0.291,0.572
30204,和歌山県有田市,1,1,0,1,719.144,36.89,0.604,0.118,0.316,0.626
30205,和歌山県御坊市,0,0,0,0,529.885,43.91,0.656,0.124,0.289,0.635
30206,和歌山県田辺市,0,1,0,1,63.166,1026.91,0.668,0.124,0.313,0.677
30207,和歌山県新宮市,0,1,0,0,110.132,255.23,0.598,0.116,0.351,0.622
30208,和歌山県紀の川市,1,1,0,1,268.432,228.21,0.586,0.121,0.299,0.733
30209,和歌山県岩出市,0,1,0,0,1393.317,38.51,0.551,0.153,0.212,0.702
30304,和歌山県海草郡紀美野町,1,1,0,0,76.477,128.34,0.638,0.077,0.442,0.78
30341,和歌山県伊都郡かつらぎ町,1,1,0,0,112.338,151.69,0.648,0.106,0.368,0.704
30343,和歌山県伊都郡九度山町,0,0,0,0,79.573,44.15,0.661,0.083,0.422,0.654
30344,和歌山県伊都郡高野町,1,1,0,0,24.375,137.03,0.618,0.072,0.39,0.526
30361,和歌山県有田郡湯浅町,0,1,0,0,500.107,20.79,0.618,0.119,0.328,0.618
30362,和歌山県有田郡広川町,0,0,0,0,117.185,65.33,0.64,0.127,0.316,0.655
30366,和歌山県有田郡有田川町,1,1,0,0,74.194,351.84,0.642,0.129,0.318,0.764
30381,和歌山県日高郡美浜町,0,0,0,0,552.035,152.35,0.702,0.108,0.334,0.711
30382,和歌山県日高郡日高町,0,0,0,0,166.003,992.11,0.646,0.118,0.32,0.629
30383,和歌山県日高郡由良町,0,0,0,0,178.989,30.94,0.623,0.108,0.352,0.706
30390,和歌山県日高郡印南町,0,1,0,1,66.364,113.62,0.707,0.127,0.345,0.748
30391,和歌山県日高郡みなべ町,0,0,1,1,101.447,120.28,0.693,0.138,0.302,0.714
30392,和歌山県日高郡日高川町,1,1,0,1,29.619,331.59,0.67,0.125,0.344,0.771
30401,和歌山県西牟婁郡白浜町,0,1,0,1,94.875,200.96,0.648,0.106,0.37,0.721
30404,和歌山県西牟婁郡上富田町,1,1,0,0,287.754,57.37,0.67,0.142,0.248,0.806
30406,和歌山県西牟婁郡すさみ町,0,1,0,0,21.953,174.46,0.664,0.085,0.468,0.678
30421,和歌山県東牟婁郡那智勝浦町,0,1,0,0,81.854,183.31,0.63,0.103,0.403,0.713
30422,和歌山県東牟婁郡太地町,1,1,0,0,466.553,5.81,0.624,0.086,0.417,0.716
30424,和歌山県東牟婁郡古座川町,1,1,0,0,9.357,294.23,0.7,0.078,0.527,0.761
30427,和歌山県東牟婁郡北山村,0,1,0,0,3.537,48.2,0.554,0.076,0.48,0.746
30428,和歌山県東牟婁郡串本町,0,1,0,1,107.083,135.67,0.657,0.091,0.43,0.704
31201,鳥取県鳥取市,1,1,0,1,250.41,765.31,0.538,0.134,0.266,0.689
31202,鳥取県米子市,1,1,0,0,1073.35,132.42,0.529,0.137,0.276,0.715
31203,鳥取県倉吉市,0,0,0,1,188.589,272.06,0.617,0.127,0.317,0.764
31204,鳥取県境港市,1,1,0,0,1141.085,29.02,0.55,0.126,0.304,0.737
31302,鳥取県岩美郡岩美町,1,1,0,0,88.906,122.32,0.601,0.113,0.341,0.811
31325,鳥取県八頭郡若桜町,1,1,0,0,16.309,199.18,0.601,0.068,0.452,0.754
31328,鳥取県八頭郡智頭町,1,1,0,0,31.657,224.7,0.618,0.097,0.389,0.776
31329,鳥取県八頭郡八頭町,1,1,0,0,81.227,206.71,0.61,0.122,0.32,0.804
31364,鳥取県東伯郡三朝町,0,0,0,0,27.552,233.52,0.623,0.118,0.362,0.838
31370,鳥取県東伯郡湯梨浜町,0,0,0,0,181.232,77.94,0.607,0.141,0.3,0.836
31371,鳥取県東伯郡琴浦町,1,1,0,1,115.703,139.97,0.623,0.125,0.345,0.823
31372,鳥取県東伯郡北栄町,1,0,0,1,234.205,56.94,0.637,0.13,0.31,0.822
31384,鳥取県西伯郡日吉津村,0,0,0,0,768.582,4.2,0.562,0.15,0.274,0.787
31386,鳥取県西伯郡大山町,1,0,0,1,79.034,189.83,0.65,0.111,0.377,0.839
31389,鳥取県西伯郡南部町,0,1,0,0,97.095,153.12,0.705,0.102,0.358,0.837
31390,鳥取県西伯郡伯耆町,0,0,0,1,78.42,139.44,0.612,0.115,0.363,0.85
31401,鳥取県日野郡日南町,1,1,1,1,13.817,340.96,0.651,0.074,0.492,0.835
31402,鳥取県日野郡日野町,0,1,0,0,24.406,117.6,0.909,0.13,0.28,0.817
31403,鳥取県日野郡江府町,1,1,0,0,23.935,124.52,0.662,0.082,0.447,0.795
32201,島根県松江市,1,1,0,1,352.309,572.99,0.505,0.132,0.282,0.66
32202,島根県浜田市,1,1,0,1,81.542,690.66,0.587,0.114,0.337,0.716
32203,島根県出雲市,1,1,0,1,269.317,624.36,0.574,0.138,0.291,0.777
32204,島根県益田市,1,1,1,1,63.212,733.19,0.58,0.124,0.351,0.76
32205,島根県大田市,1,1,0,0,77.998,435.71,0.59,0.114,0.382,0.801
32206,島根県安来市,1,1,0,0,96.911,420.93,0.59,0.122,0.352,0.761
32207,島根県江津市,1,1,0,0,84.157,268.24,0.582,0.113,0.366,0.767
32209,島根県雲南市,1,1,0,1,70.047,553.18,0.611,0.118,0.365,0.825
32343,島根県仁多郡奥出雲町,0,0,0,0,35.16,368.01,0.633,0.104,0.407,0.832
32386,島根県飯石郡飯南町,0,1,0,1,20.473,242.88,0.63,0.103,0.435,0.815
32441,島根県邑智郡川本町,1,1,0,0,31.814,106.43,0.618,0.096,0.434,0.762
32448,島根県邑智郡美郷町,0,1,0,0,17.379,168.34,0.862,0.103,0.353,0.896
32449,島根県邑智郡邑南町,1,1,1,1,26.107,419.29,0.652,0.107,0.431,0.827
32501,島根県鹿足郡津和野町,0,1,0,1,24.149,307.03,0.627,0.087,0.453,0.754
32505,島根県鹿足郡吉賀町,0,1,1,1,18.692,336.5,0.636,0.095,0.434,0.794
32525,島根県隠岐郡海士町,1,1,0,0,52.097,33.43,0.808,0.105,0.39,0.74
32526,島根県隠岐郡西ノ島町,0,1,0,0,34.955,55.96,0.814,0.084,0.417,0.747
32527,島根県隠岐郡知夫村,0,1,0,0,21.77,13.7,0.822,0.085,0.496,0.646
32528,島根県隠岐郡隠岐の島町,1,1,0,0,56.417,242.83,0.766,0.117,0.384,0.769
33100,岡山県岡山市,1,1,0,0,1329.558,789.96,0.466,0.137,0.247,0.569
33202,岡山県倉敷市,1,0,1,1,1325.759,355.63,0.517,0.141,0.267,0.682
33203,岡山県津山市,1,1,0,0,204.096,506.33,0.563,0.136,0.288,0.736
33204,岡山県玉野市,1,1,0,1,549.723,103.58,0.519,0.105,0.354,0.642
33205,岡山県笠岡市,0,0,0,0,370.645,136.39,0.572,0.11,0.348,0.731
33207,岡山県井原市,0,1,0,0,167.206,243.54,0.604,0.113,0.344,0.753
33208,岡山県総社市,1,1,0,1,319.319,211.9,0.56,0.143,0.274,0.722
33209,岡山県高梁市,1,1,0,1,58.258,546.99,0.577,0.094,0.386,0.663
33210,岡山県新見市,0,1,0,1,38.31,793.29,0.615,0.107,0.388,0.771
33211,岡山県備前市,0,1,0,0,121.549,258.17,0.525,0.101,0.363,0.722
33212,岡山県瀬戸内市,0,1,0,0,284.296,125.45,0.561,0.118,0.33,0.748
33213,岡山県赤磐市,1,1,0,1,205.056,209.36,0.542,0.137,0.313,0.794
33214,岡山県真庭市,1,1,0,1,55.142,828.53,0.623,0.12,0.367,0.824
33215,岡山県美作市,1,1,0,1,64.128,429.29,0.597,0.109,0.389,0.822
33216,岡山県浅口市,0,1,0,0,497.472,66.46,0.563,0.115,0.349,0.737
33346,岡山県和気郡和気町,0,1,0,0,100.422,144.21,0.582,0.104,0.386,0.775
33423,岡山県都窪郡早島町,0,1,0,0,1812.574,7.62,0.487,0.156,0.276,0.737
33445,岡山県浅口郡里庄町,0,1,0,0,660.884,12.23,0.543,0.139,0.298,0.714
33461,岡山県小田郡矢掛町,0,1,0,0,158.709,90.62,0.61,0.108,0.37,0.804
33586,岡山県真庭郡新庄村,0,1,0,0,13.882,67.11,0.601,0.112,0.418,0.828
33606,岡山県苫田郡鏡野町,1,1,0,0,30.849,419.68,0.609,0.122,0.366,0.856
33622,岡山県勝田郡勝央町,0,1,0,0,204.096,54.05,0.584,0.138,0.297,0.845
33623,岡山県勝田郡奈義町,0,1,0,1,84.05,69.52,0.571,0.125,0.332,0.698
33643,岡山県英田郡西粟倉村,0,1,0,0,25.241,57.97,0.575,0.13,0.343,0.847
33663,岡山県久米郡久米南町,0,0,0,1,62.027,78.65,0.62,0.099,0.423,0.768
33666,岡山県久米郡美咲町,1,1,0,0,60.53,232.17,0.618,0.112,0.388,0.843
33681,岡山県加賀郡吉備中央町,0,1,0,0,44.478,268.78,0.636,0.095,0.391,0.781
34100,広島県広島市,0,1,0,0,3286.283,906.53,0.382,0.142,0.237,0.356
34202,広島県呉市,1,1,1,0,593.358,352.8,0.501,0.114,0.336,0.44
34203,広島県竹原市,0,1,0,0,219.727,118.23,0.562,0.102,0.382,0.67
34204,広島県三原市,0,1,0,1,198.343,471.55,0.559,0.122,0.327,0.597
34205,広島県尾道市,0,0,0,0,452.956,285.09,0.594,0.116,0.342,0.591
34207,広島県福山市,1,1,0,0,868.215,518.14,0.519,0.14,0.269,0.662
34208,広島県府中市,0,1,0,0,207.176,29.43,1.0,0.133,0.208,0.104
34209,広島県三次市,1,1,0,1,67.847,778.14,0.594,0.125,0.35,0.751
34210,広島県庄原市,1,1,0,1,29.199,1246.49,0.624,0.108,0.407,0.772
34211,広島県大竹市,1,1,0,0,294.634,78.66,0.519,0.113,0.334,0.48
34212,広島県東広島市,0,1,0,0,299.057,635.16,0.518,0.145,0.223,0.607
34213,広島県廿日市市,1,1,1,1,234.895,489.48,0.462,0.132,0.279,0.526
34214,広島県安芸高田市,1,1,0,1,54.782,537.75,0.608,0.109,0.387,0.755
34215,広島県江田島市,0,1,1,1,189.913,100.7,0.64,0.085,0.41,0.56
34302,広島県安芸郡府中町,0,1,0,0,4058.783,10.41,0.378,0.148,0.231,0.312
34304,広島県安芸郡海田町,1,1,0,0,1914.029,13.79,0.425,0.146,0.229,0.368
34307,広島県安芸郡熊野町,0,1,0,0,755.467,33.76,0.553,0.133,0.332,0.67
34309,広島県安芸郡坂町,0,1,0,0,966.238,15.69,0.429,0.148,0.291,0.414
34368,広島県山県郡安芸太田町,0,1,0,0,19.19,341.89,0.65,0.082,0.493,0.757
34369,広島県山県郡北広島町,1,1,1,1,29.059,646.2,0.635,0.113,0.374,0.782
34431,広島県豊田郡大崎上島町,1,1,0,0,137.683,43.11,0.68,0.071,0.449,0.59
34462,広島県世羅郡世羅町,0,0,0,0,57.694,278.14,0.655,0.109,0.403,0.811
34545,広島県神石郡神石高原町,0,1,0,0,23.769,381.98,0.675,0.092,0.466,0.832
35201,山口県下関市,1,1,0,1,343.227,715.89,0.525,0.116,0.33,0.643
35202,山口県宇部市,1,1,0,1,575.488,286.65,0.489,0.122,0.305,0.714
35203,山口県山口市,1,1,0,0,189.388,1023.23,0.491,0.134,0.273,0.677
35204,山口県萩市,1,1,0,0,66.012,698.31,0.6,0.098,0.396,0.685
35206,山口県防府市,0,0,0,0,592.978,189.37,0.503,0.133,0.29,0.716
35207,山口県下松市,0,0,0,0,603.52,89.35,0.514,0.142,0.287,0.702
35208,山口県岩国市,1,1,0,0,150.192,873.72,0.536,0.12,0.335,0.652
35210,山口県光市,0,1,0,1,503.758,92.13,0.492,0.124,0.337,0.763
35211,山口県長門市,0,1,0,1,83.589,357.29,0.589,0.1,0.397,0.748
35212,山口県柳井市,0,0,0,0,214.452,140.05,0.557,0.112,0.366,0.727
35213,山口県美祢市,1,1,0,0,54.54,472.64,0.588,0.096,0.378,0.832
35215,山口県周南市,1,1,0,1,214.564,656.29,0.481,0.125,0.308,0.655
35216,山口県山陽小野田市,1,1,0,0,452.498,133.09,0.518,0.129,0.312,0.762
35305,山口県大島郡周防大島町,1,1,0,0,98.037,138.09,0.647,0.068,0.519,0.721
35321,山口県玖珂郡和木町,1,1,0,0,470.205,10.58,0.485,0.166,0.25,0.535
35341,山口県熊毛郡上関町,1,1,0,0,47.856,34.69,0.613,0.062,0.537,0.681
35343,山口県熊毛郡田布施町,0,1,0,0,301.063,50.42,0.552,0.123,0.337,0.804
35344,山口県熊毛郡平生町,0,0,0,1,361.17,34.58,0.564,0.103,0.396,0.793
35502,山口県阿武郡阿武町,0,1,0,0,27.163,115.95,0.644,0.088,0.464,0.747
36201,徳島県徳島市,0,1,0,1,1363.82,191.25,0.462,0.118,0.276,0.573
36202,徳島県鳴門市,0,1,0,0,409.897,135.66,0.519,0.112,0.314,0.745
36203,徳島県小松島市,0,1,0,0,771.302,45.37,0.549,0.115,0.309,0.734
36204,徳島県阿南市,0,1,0,0,253.92,279.25,0.564,0.129,0.306,0.74
36205,徳島県吉野川市,0,1,0,0,282.867,144.14,0.563,0.107,0.347,0.757
36206,徳島県阿波市,0,1,0,0,198.59,191.11,0.585,0.111,0.334,0.787
36207,徳島県美馬市,0,1,1,1,82.677,367.14,0.599,0.101,0.355,0.803
36208,徳島県三好市,0,1,0,0,37.366,721.42,0.615,0.087,0.41,0.761
36301,徳島県勝浦郡勝浦町,0,1,0,0,76.973,69.83,0.673,0.095,0.396,0.799
36302,徳島県勝浦郡上勝町,0,1,0,0,13.663,109.63,0.719,0.072,0.544,0.853
36321,徳島県名東郡佐那河内村,0,0,0,0,53.604,42.28,0.681,0.085,0.432,0.85
36341,徳島県名西郡石井町,0,0,0,0,866.74,28.85,0.55,0.127,0.302,0.749
36342,徳島県名西郡神山町,0,1,0,0,30.2,173.3,0.691,0.057,0.495,0.84
36368,徳島県那賀郡那賀町,0,1,0,0,12.01,694.98,0.901,0.084,0.469,0.8
36383,徳島県海部郡牟岐町,0,0,0,0,60.622,56.62,0.57,0.079,0.48,0.635
36387,徳島県海部郡美波町,0,0,0,0,38.914,140.8,0.59,0.082,0.452,0.684
36388,徳島県海部郡海陽町,1,1,0,0,27.13,327.65,0.627,0.088,0.431,0.699
36401,徳島県板野郡松茂町,0,0,0,0,923.954,14.24,0.491,0.139,0.237,0.739
36402,徳島県板野郡北島町,0,0,0,0,2740.109,8.74,0.486,0.152,0.242,0.737
36403,徳島県板野郡藍住町,0,0,0,0,1837.834,16.27,0.53,0.156,0.221,0.783
36404,徳島県板野郡板野町,0,0,0,0,403.202,36.22,0.566,0.109,0.302,0.776
36405,徳島県板野郡上板町,0,0,0,0,331.363,34.58,0.563,0.113,0.318,0.845
36468,徳島県美馬郡つるぎ町,0,1,0,0,43.108,194.84,0.609,0.084,0.433,0.763
36489,徳島県三好郡東みよし町,0,1,0,0,116.344,122.48,0.605,0.118,0.326,0.777
37201,香川県高松市,1,1,1,1,1090.537,375.41,0.461,0.136,0.27,0.575
37202,香川県丸亀市,1,1,0,0,953.747,111.78,0.549,0.139,0.274,0.738
37203,香川県坂出市,1,1,0,1,570.841,92.49,0.548,0.118,0.343,0.689
37204,香川県善通寺市,0,1,0,0,883.653,39.93,0.555,0.129,0.29,0.673
37205,香川県観音寺市,1,1,0,0,484.1,117.84,0.595,0.121,0.322,0.77
37206,香川県さぬき市,1,1,0,0,304.853,158.63,0.563,0.108,0.341,0.751
37207,香川県東かがわ市,0,0,0,0,188.037,152.83,0.568,0.096,0.395,0.746
37208,香川県三豊市,1,1,0,0,285.649,222.71,0.602,0.119,0.343,0.798
37322,香川県小豆郡土庄町,0,1,0,0,171.93,74.37,0.71,0.098,0.381,0.699
37324,香川県小豆郡小豆島町,0,0,0,0,135.696,95.59,0.711,0.091,0.413,0.688
37341,香川県木田郡三木町,1,1,0,0,358.329,75.78,0.559,0.128,0.29,0.718
37364,香川県香川郡直島町,1,1,0,0,208.519,14.22,0.573,0.1,0.342,0.472
37386,香川県綾歌郡宇多津町,0,0,0,0,1785.739,8.1,0.494,0.164,0.194,0.686
37387,香川県綾歌郡綾川町,1,1,1,1,222.149,109.75,0.577,0.118,0.331,0.771
37403,香川県仲多度郡琴平町,0,0,0,0,974.652,8.47,0.568,0.101,0.389,0.647
37404,香川県仲多度郡多度津町,0,0,0,0,863.192,24.38,0.543,0.125,0.308,0.703
37406,香川県仲多度郡まんのう町,0,1,0,1,97.301,194.45,0.616,0.122,0.355,0.834
38201,愛媛県松山市,0,0,0,0,1155.249,429.37,0.498,0.131,0.259,0.451
38202,愛媛県今治市,0,0,0,0,350.441,419.13,0.603,0.119,0.334,0.646
38203,愛媛県宇和島市,1,1,1,1,147.146,468.16,0.612,0.11,0.363,0.585
38204,愛媛県八幡浜市,0,0,0,0,246.486,132.68,0.588,0.102,0.375,0.503
38205,愛媛県新居浜市,1,1,1,1,504.866,234.46,0.549,0.133,0.308,0.658
38206,愛媛県西条市,0,0,0,0,210.805,509.98,0.59,0.129,0.306,0.748
38207,愛媛県大洲市,1,1,0,0,100.423,432.22,0.637,0.123,0.337,0.728
38210,愛媛県伊予市,0,1,1,1,175.551,194.44,0.615,0.125,0.314,0.625
38213,愛媛県四国中央市,0,1,0,1,199.411,421.24,0.559,0.124,0.302,0.714
38214,愛媛県西予市,0,1,0,1,70.068,514.34,0.652,0.108,0.408,0.744
38215,愛媛県東温市,0,0,0,1,171.428,211.3,0.577,0.128,0.277,0.617
38356,愛媛県越智郡上島町,1,1,0,0,174.269,30.38,0.68,0.077,0.425,0.365
38386,愛媛県上浮穴郡久万高原町,0,1,0,0,14.328,583.69,0.669,0.086,0.473,0.756
38401,愛媛県伊予郡松前町,1,1,0,0,1559.939,293.25,0.198,0.074,0.46,0.586
38402,愛媛県伊予郡砥部町,0,0,0,1,201.216,101.59,0.605,0.126,0.299,0.646
38422,愛媛県喜多郡内子町,0,1,1,1,55.54,299.43,0.66,0.114,0.381,0.742
38442,愛媛県西宇和郡伊方町,0,0,0,0,78.064,93.98,0.647,0.087,0.431,0.635
38484,愛媛県北宇和郡松野町,1,1,0,0,40.589,98.45,0.677,0.087,0.425,0.796
38488,愛媛県北宇和郡鬼北町,0,1,0,0,43.895,241.88,0.661,0.108,0.422,0.785
38506,愛媛県南宇和郡愛南町,1,1,0,0,78.725,238.99,0.621,0.098,0.398,0.737
39201,高知県高知市,1,0,0,1,1071.339,308.99,0.516,0.128,0.277,0.523
39202,高知県室戸市,0,0,0,0,39.141,248.18,0.683,0.076,0.453,0.688
39203,高知県安芸市,1,1,0,0,47.98,317.21,0.69,0.103,0.375,0.67
39204,高知県南国市,0,1,0,0,379.133,125.3,0.609,0.127,0.296,0.683
39205,高知県土佐市,1,1,0,0,269.816,91.49,0.656,0.113,0.346,0.692
39206,高知県須崎市,1,1,0,0,142.437,135.44,0.633,0.101,0.363,0.633
39208,高知県宿毛市,0,1,0,0,64.949,286.19,0.632,0.115,0.348,0.76
39209,高知県土佐清水市,0,0,0,1,42.776,266.34,0.639,0.083,0.46,0.645
39210,高知県四万十市,0,1,1,1,53.14,632.29,0.65,0.119,0.343,0.744
39211,高知県香南市,1,1,0,0,242.205,126.48,0.616,0.133,0.308,0.724
39212,高知県香美市,1,1,0,1,49.911,537.86,0.646,0.098,0.37,0.655
39301,高知県安芸郡東洋町,0,0,0,0,29.567,74.06,0.715,0.074,0.449,0.675
39302,高知県安芸郡奈半利町,0,0,0,0,127.59,28.36,0.707,0.093,0.43,0.671
39303,高知県安芸郡田野町,0,1,0,0,356.467,6.53,0.671,0.095,0.398,0.682
39304,高知県安芸郡安田町,0,0,0,0,44.754,52.36,0.727,0.077,0.437,0.751
39305,高知県安芸郡北川村,1,1,0,0,5.897,196.73,0.703,0.108,0.425,0.696
39306,高知県安芸郡馬路村,0,0,0,0,4.94,165.48,0.678,0.109,0.394,0.618
39307,高知県安芸郡芸西村,1,1,0,0,97.77,39.6,0.668,0.111,0.386,0.729
39341,高知県長岡郡本山町,0,0,0,0,27.812,134.22,0.686,0.09,0.43,0.746
39344,高知県長岡郡大豊町,0,1,0,1,12.425,315.06,0.733,0.047,0.559,0.786
39363,高知県土佐郡土佐町,0,0,0,0,17.835,212.13,0.702,0.096,0.448,0.752
39364,高知県土佐郡大川村,0,0,0,0,4.184,95.27,0.718,0.104,0.432,0.806
39386,高知県吾川郡いの町,1,1,1,1,46.71,470.97,0.597,0.099,0.357,0.678
39387,高知県吾川郡仁淀川町,1,1,0,0,16.586,333.0,0.683,0.07,0.539,0.746
39401,高知県高岡郡中土佐町,0,1,0,0,32.064,193.28,0.649,0.092,0.43,0.688
39402,高知県高岡郡佐川町,0,1,0,0,131.115,100.8,0.67,0.115,0.377,0.75
39403,高知県高岡郡越知町,0,1,0,0,48.693,111.95,0.686,0.087,0.454,0.725
39405,高知県高岡郡檮原町,0,1,0,0,15.158,236.45,0.71,0.096,0.423,0.73
39410,高知県高岡郡日高村,0,1,0,0,119.465,44.85,0.635,0.094,0.393,0.761
39411,高知県高岡郡津野町,1,1,0,0,29.518,197.85,0.667,0.111,0.415,0.813
39412,高知県高岡郡四万十町,0,1,0,0,26.405,642.3,0.691,0.101,0.424,0.754
39424,高知県幡多郡大月町,0,0,0,0,42.313,102.94,0.66,0.088,0.44,0.733
39427,高知県幡多郡三原村,1,1,0,0,18.016,85.37,0.68,0.092,0.453,0.852
39428,高知県幡多郡黒潮町,0,1,0,0,54.25,188.59,0.661,0.092,0.412,0.741
40100,福岡県北九州市,1,1,1,1,2360.051,491.95,0.44,0.126,0.293,0.524
40130,福岡県福岡市,1,1,0,0,6061.079,343.39,0.317,0.133,0.207,0.285
40202,福岡県大牟田市,0,0,0,0,1391.192,81.45,0.529,0.11,0.351,0.636
40203,福岡県久留米市,0,1,0,0,1283.742,229.96,0.487,0.139,0.257,0.583
40204,福岡県直方市,1,1,0,1,921.951,61.76,0.514,0.131,0.315,0.741
40205,福岡県飯塚市,1,1,0,1,588.733,214.07,0.514,0.128,0.291,0.707
40206,福岡県田川市,1,1,0,0,873.164,54.55,0.546,0.13,0.32,0.764
40207,福岡県柳川市,1,1,0,0,849.684,77.15,0.584,0.123,0.307,0.686
40210,福岡県八女市,1,1,1,1,130.249,482.44,0.615,0.118,0.334,0.763
40211,福岡県筑後市,0,0,0,0,1138.11,41.78,0.555,0.148,0.258,0.705
40212,福岡県大川市,0,1,0,0,1009.938,33.62,0.565,0.106,0.33,0.709
40213,福岡県行橋市,0,1,0,0,945.658,70.05,0.518,0.136,0.281,0.695
40214,福岡県豊前市,1,1,0,0,218.032,111.1,0.561,0.12,0.349,0.752
40215,福岡県中間市,0,1,0,1,2296.716,15.96,0.501,0.111,0.35,0.654
40216,福岡県小郡市,1,1,0,0,1308.861,45.51,0.463,0.143,0.261,0.546
40217,福岡県筑紫野市,0,1,0,0,1021.038,87.73,0.414,0.148,0.228,0.471
40218,福岡県春日市,1,1,0,0,8549.463,14.15,0.376,0.16,0.197,0.375
40219,福岡県大野城市,1,1,0,0,3549.482,26.89,0.392,0.159,0.204,0.406
40220,福岡県宗像市,1,1,0,0,795.231,119.91,0.448,0.136,0.266,0.586
40221,福岡県太宰府市,1,1,0,0,2725.533,29.6,0.397,0.147,0.259,0.459
40223,福岡県古賀市,0,1,0,0,1320.982,42.07,0.455,0.143,0.244,0.541
40224,福岡県福津市,1,1,0,0,1024.084,52.76,0.465,0.143,0.288,0.554
40225,福岡県うきは市,1,1,0,1,246.662,117.46,0.622,0.13,0.319,0.77
40226,福岡県宮若市,1,1,0,0,198.439,139.99,0.546,0.123,0.332,0.801
40227,福岡県嘉麻市,1,1,0,0,287.838,135.11,0.562,0.114,0.357,0.791
40228,福岡県朝倉市,0,1,0,0,211.504,246.71,0.583,0.122,0.32,0.739
40229,福岡県みやま市,0,1,0,0,357.999,105.21,0.605,0.114,0.348,0.736
40230,福岡県糸島市,1,1,0,0,416.56,215.7,0.529,0.136,0.269,0.546
40305,福岡県筑紫郡那珂川町,1,1,0,1,626.573,192.78,0.317,0.097,0.34,0.875
40341,福岡県糟屋郡宇美町,0,1,0,0,1238.051,30.21,0.485,0.146,0.233,0.635
40342,福岡県糟屋郡篠栗町,0,1,0,0,741.72,38.93,0.465,0.16,0.23,0.569
40343,福岡県糟屋郡志免町,0,1,0,0,4428.845,8.69,0.431,0.17,0.22,0.537
40344,福岡県糟屋郡須惠町,1,1,0,0,1768.707,16.31,0.485,0.163,0.26,0.657
40345,福岡県糟屋郡新宮町,1,1,0,0,1337.547,18.93,0.423,0.207,0.164,0.477
40348,福岡県糟屋郡久山町,1,1,0,0,207.963,37.44,0.526,0.159,0.278,0.716
40349,福岡県糟屋郡粕屋町,0,1,0,0,3779.432,14.13,0.464,0.188,0.169,0.515
40381,福岡県遠賀郡芦屋町,1,1,0,0,1308.68,11.6,0.512,0.136,0.289,0.665
40382,福岡県遠賀郡水巻町,0,1,0,0,2763.509,11.01,0.521,0.12,0.302,0.667
40383,福岡県遠賀郡岡垣町,1,1,0,1,633.009,48.64,0.478,0.138,0.311,0.682
40384,福岡県遠賀郡遠賀町,1,1,0,0,788.628,22.15,0.489,0.129,0.307,0.697
40401,福岡県鞍手郡小竹町,1,1,0,0,554.108,14.18,0.528,0.095,0.373,0.767
40402,福岡県鞍手郡鞍手町,1,1,1,1,439.41,35.6,0.536,0.113,0.345,0.789
40421,福岡県嘉穂郡桂川町,0,1,0,0,625.697,20.14,0.531,0.128,0.301,0.775
40447,福岡県朝倉郡筑前町,0,1,0,0,413.193,67.1,0.546,0.138,0.282,0.73
40448,福岡県朝倉郡東峰村,0,0,0,0,37.136,51.97,0.605,0.102,0.405,0.761
40503,福岡県三井郡大刀洗町,0,0,0,0,620.303,22.84,0.569,0.144,0.259,0.73
40522,福岡県三潴郡大木町,0,0,0,0,759.606,18.44,0.565,0.159,0.258,0.737
40544,福岡県八女郡広川町,0,0,0,1,493.761,65.33,0.364,0.127,0.316,0.655
40601,福岡県田川郡香春町,0,1,0,0,293.893,44.5,0.565,0.116,0.374,0.789
40602,福岡県田川郡添田町,1,1,0,1,70.009,132.2,0.597,0.107,0.389,0.844
40604,福岡県田川郡糸田町,0,1,0,0,1008.011,8.04,0.574,0.129,0.349,0.82
40605,福岡県田川郡川崎町,1,1,0,0,496.615,270.77,0.404,0.098,0.336,0.865
40608,福岡県田川郡大任町,0,1,0,0,320.027,14.26,0.597,0.129,0.345,0.851
40609,福岡県田川郡赤村,0,0,0,0,105.407,31.98,0.579,0.12,0.363,0.878
40610,福岡県田川郡福智町,0,1,0,0,477.192,42.06,0.58,0.132,0.327,0.81
