cityCode,市町村名,C_2011コミュニティバス運行2011年,C_2017コミュニティバス運行2017年,D_2011デマンド型交通運行2011年,D_2017デマンド型交通運行2017年,人口密度(人/km2),面積(km2),軽自動車率,15歳未満人口比率,高齢化率,自家用車利用率
23236,愛知県みよし市,1,1,1,1,1867.498,32.19,0.333,0.165,0.169,0.685
23237,愛知県あま市,0,1,0,0,3634.303,27.49,0.369,0.143,0.256,0.539
23238,愛知県長久手市,1,1,0,0,2460.222,21.55,1.0,0.177,0.155,0.452
23302,愛知県愛知郡東郷町,1,1,0,0,2173.148,18.03,0.322,0.166,0.222,0.696
23342,愛知県西春日井郡豊山町,1,1,0,0,1857.165,6.18,0.394,0.16,0.221,0.562
23361,愛知県丹羽郡大口町,1,1,0,0,1556.812,13.61,0.403,0.153,0.231,0.624
23362,愛知県丹羽郡扶桑町,0,0,0,0,3471.839,11.19,0.39,0.144,0.261,0.589
23424,愛知県海部郡大治町,0,1,0,0,3837.801,6.59,0.358,0.165,0.21,0.532
23425,愛知県海部郡蟹江町,0,1,0,0,2921.213,11.09,0.364,0.13,0.242,0.482
23427,愛知県海部郡飛島村,1,1,0,1,189.874,22.42,0.367,0.138,0.306,0.772
23441,愛知県知多郡阿久比町,0,1,0,0,1127.465,23.8,0.441,0.162,0.256,0.686
23442,愛知県知多郡東浦町,1,1,0,0,1730.615,31.14,0.394,0.142,0.244,0.656
23445,愛知県知多郡南知多町,1,1,0,0,374.23,38.37,0.593,0.098,0.345,0.651
23446,愛知県知多郡美浜町,0,1,0,0,425.491,152.35,0.362,0.108,0.334,0.711
23447,愛知県知多郡武豊町,1,1,0,1,1712.511,25.92,0.47,0.148,0.238,0.661
23501,愛知県額田郡幸田町,0,1,0,0,766.874,56.72,0.436,0.168,0.205,0.693
23561,愛知県北設楽郡設楽町,0,1,0,0,18.335,273.94,0.53,0.079,0.474,0.763
23562,愛知県北設楽郡東栄町,0,1,0,0,25.74,123.38,0.563,0.081,0.488,0.807
23563,愛知県北設楽郡豊根村,0,1,0,0,7.257,155.88,0.558,0.096,0.485,0.801
24201,三重県津市,1,1,0,0,386.467,711.11,0.446,0.128,0.279,0.678
24202,三重県四日市市,0,1,0,0,1541.461,206.44,0.419,0.135,0.247,0.64
24203,三重県伊勢市,1,1,1,1,580.899,208.35,0.476,0.125,0.294,0.702
24204,三重県松阪市,1,1,0,0,258.221,623.66,0.504,0.131,0.281,0.743
24205,三重県桑名市,1,1,0,0,1016.367,136.68,0.398,0.14,0.25,0.621
24207,三重県鈴鹿市,1,1,0,0,979.559,194.46,0.461,0.141,0.239,0.701
24208,三重県名張市,1,1,0,0,590.66,129.77,0.495,0.128,0.282,0.664
24209,三重県尾鷲市,1,1,0,0,90.646,192.71,0.528,0.098,0.411,0.643
24210,三重県亀山市,1,1,0,0,269.538,191.04,0.473,0.142,0.251,0.75
24211,三重県鳥羽市,1,1,0,0,149.812,107.34,0.539,0.1,0.352,0.62
24212,三重県熊野市,0,1,0,1,42.608,373.35,0.596,0.1,0.418,0.663
24214,三重県いなべ市,0,1,0,0,204.296,219.83,0.514,0.129,0.256,0.753
24215,三重県志摩市,1,1,1,1,246.436,178.94,0.593,0.099,0.374,0.761
24216,三重県伊賀市,1,1,0,0,165.072,558.23,0.536,0.119,0.317,0.73
24303,三重県桑名郡木曽岬町,1,1,0,0,340.094,15.74,0.472,0.103,0.302,0.699
24324,三重県員弁郡東員町,1,1,0,0,1144.558,22.68,0.423,0.135,0.278,0.736
24341,三重県三重郡菰野町,1,1,0,0,371.941,107.01,0.474,0.145,0.254,0.765
24343,三重県三重郡朝日町,0,0,0,0,1760.936,196.81,0.493,0.098,0.394,0.869
24344,三重県三重郡川越町,0,1,0,0,1128.041,8.73,0.446,0.161,0.186,0.667
24441,三重県多気郡多気町,0,1,1,1,154.1,103.06,0.551,0.129,0.316,0.766
24442,三重県多気郡明和町,0,1,0,0,593.574,19.64,0.322,0.126,0.27,0.76
